,Institution Name,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
107,University of California-Riverside,56.0,55.0,53.0,47.0,48.0,44.0,41.0,42.0,43.0,46.0,39.0,39.0,38.0,37.0,38.0,37.0
108,University of California-San Diego,65.0,62.0,55.0,59.0,58.0,57.0,56.0,57.0,56.0,57.0,56.0,56.0,56.0,53.0,54.0,50.0
109,University of California-Santa Barbara,68.0,68.0,68.0,69.0,68.0,69.0,68.0,67.0,66.0,64.0,53.0,52.0,50.0,47.0,45.0,41.0
110,University of California-Santa Cruz,52.0,49.0,53.0,52.0,55.0,55.0,50.0,52.0,50.0,50.0,49.0,51.0,46.0,48.0,49.0,45.0
111,University of Central Florida,44.0,44.0,40.0,40.0,40.0,40.0,36.0,35.0,34.0,35.0,34.0,33.0,31.0,30.0,30.0,29.0
112,University of Cincinnati-Main Campus,35.0,34.0,33.0,31.0,28.0,28.0,25.0,24.0,22.0,21.0,20.0,19.0,18.0,19.0,16.0,14.0
113,University of Colorado Boulder,46.0,47.0,45.0,47.0,47.0,46.0,44.0,42.0,40.0,41.0,41.0,41.0,41.0,38.0,38.0,36.0
114,University of Colorado Colorado Springs,25.0,24.0,23.0,25.0,24.0,27.0,26.0,24.0,22.0,21.0,22.0,25.0,22.0,23.0,15.0,24.0
115,University of Colorado Denver/Anschutz Medical Campus,24.0,22.0,23.0,21.0,17.0,15.0,16.0,18.0,15.0,15.0,17.0,15.0,13.0,14.0,16.0,15.0
116,University of Connecticut,73.0,73.0,70.0,70.0,70.0,67.0,68.0,67.0,68.0,66.0,61.0,56.0,54.0,53.0,50.0,45.0
117,University of Delaware,72.0,72.0,73.0,71.0,65.0,68.0,68.0,67.0,64.0,62.0,59.0,67.0,64.0,60.0,62.0,59.0
118,University of Florida,67.0,68.0,68.0,67.0,66.0,67.0,65.0,64.0,59.0,59.0,58.0,56.0,53.0,54.0,53.0,51.0
119,University of Georgia,65.0,65.0,62.0,62.0,62.0,60.0,57.0,54.0,54.0,52.0,49.0,50.0,48.0,45.0,43.0,40.0
120,University of Hawaii at Manoa,34.0,32.0,28.0,25.0,21.0,20.0,19.0,17.0,18.0,17.0,16.0,15.0,15.0,11.0,12.0,12.0
121,University of Houston,32.0,30.0,25.0,23.0,20.0,18.0,16.0,16.0,15.0,15.0,12.0,12.0,13.0,12.0,10.0,10.0
122,University of Idaho,35.0,34.0,30.0,30.0,29.0,28.0,25.0,23.0,23.0,24.0,25.0,23.0,21.0,20.0,22.0,20.0
123,University of Illinois Chicago,34.0,34.0,30.0,31.0,34.0,33.0,30.0,31.0,27.0,25.0,24.0,21.0,22.0,21.0,20.0,16.0
124,University of Illinois Urbana-Champaign,70.0,70.0,70.0,70.0,71.0,69.0,68.0,69.0,66.0,67.0,65.0,64.0,63.0,61.0,60.0,58.0
125,University of Iowa,55.0,53.0,54.0,51.0,51.0,48.0,48.0,47.0,47.0,44.0,42.0,0.0,40.0,40.0,38.0,36.0
126,University of Kansas,48.0,47.0,42.0,41.0,37.0,37.0,36.0,37.0,32.0,32.0,32.0,31.0,31.0,31.0,31.0,26.0
127,University of Kentucky,45.0,44.0,40.0,38.0,35.0,33.0,34.0,31.0,34.0,33.0,32.0,29.0,30.0,30.0,29.0,28.0
128,University of Louisiana at Lafayette,23.0,19.0,15.0,16.0,15.0,15.0,13.0,13.0,12.0,13.0,13.0,12.0,14.0,14.0,13.0,9.0
129,University of Louisville,37.0,32.0,31.0,28.0,25.0,36.0,25.0,26.0,22.0,21.0,21.0,19.0,16.0,14.0,13.0,11.0
130,University of Maine,38.0,40.0,38.0,36.0,33.0,37.0,36.0,36.0,36.0,34.0,34.0,34.0,32.0,34.0,28.0,31.0
131,University of Maryland Eastern Shore,22.0,21.0,20.0,15.0,14.0,19.0,13.0,14.0,16.0,18.0,18.0,22.0,22.0,19.0,25.0,25.0
132,University of Maryland-Baltimore County,42.0,44.0,39.0,38.0,38.0,34.0,37.0,37.0,33.0,34.0,34.0,32.0,35.0,28.0,30.0,28.0
133,University of Maryland-College Park,69.0,70.0,67.0,69.0,69.0,67.0,66.0,63.0,66.0,62.0,63.0,63.0,58.0,54.0,50.0,46.0
134,University of Massachusetts-Amherst,74.0,71.0,67.0,67.0,66.0,63.0,59.0,54.0,52.0,52.0,49.0,51.0,49.0,48.0,46.0,43.0
135,University of Massachusetts-Boston,24.0,25.0,21.0,18.0,17.0,16.0,15.0,13.0,14.0,12.0,11.0,13.0,11.0,15.0,15.0,12.0
136,University of Massachusetts-Dartmouth,37.0,37.0,30.0,28.0,28.0,27.0,30.0,32.0,30.0,29.0,32.0,27.0,27.0,28.0,28.0,26.0
137,University of Massachusetts-Lowell,41.0,38.0,39.0,32.0,31.0,27.0,28.0,29.0,30.0,29.0,29.0,29.0,28.0,30.0,25.0,24.0
138,University of Memphis,28.0,22.0,19.0,17.0,17.0,15.0,13.0,12.0,12.0,11.0,12.0,10.0,18.0,18.0,18.0,19.0
139,University of Michigan-Ann Arbor,80.0,79.0,77.0,77.0,75.0,76.0,76.0,76.0,73.0,72.0,73.0,70.0,70.0,70.0,70.0,67.0
140,University of Minnesota-Twin Cities,69.0,65.0,64.0,61.0,59.0,58.0,54.0,50.0,47.0,46.0,45.0,41.0,37.0,32.0,32.0,29.0
141,University of Mississippi,46.0,44.0,39.0,37.0,39.0,37.0,36.0,36.0,38.0,34.0,36.0,32.0,19.0,33.0,34.0,34.0
142,University of Missouri-Columbia,48.0,46.0,44.0,44.0,46.0,46.0,47.0,47.0,45.0,43.0,43.0,41.0,41.0,40.0,38.0,38.0
143,University of Missouri-Kansas City,23.0,23.0,23.0,22.0,23.0,22.0,21.0,24.0,17.0,18.0,16.0,17.0,14.0,17.0,16.0,18.0
144,University of Missouri-St Louis,32.0,32.0,32.0,29.0,22.0,21.0,20.0,22.0,25.0,21.0,21.0,23.0,19.0,20.0,23.0,22.0
145,University of Nebraska at Omaha,24.0,21.0,20.0,1.0,16.0,16.0,14.0,14.0,15.0,13.0,13.0,12.0,11.0,10.0,10.0,9.0
146,University of Nebraska-Lincoln,41.0,41.0,39.0,36.0,33.0,33.0,32.0,29.0,32.0,29.0,25.0,25.0,23.0,23.0,22.0,22.0
147,University of Nevada-Las Vegas,17.0,13.0,13.0,12.0,13.0,14.0,15.0,15.0,14.0,14.0,12.0,12.0,13.0,11.0,14.0,12.0
148,University of Nevada-Reno,33.0,29.0,26.0,23.0,22.0,21.0,16.0,17.0,16.0,14.0,12.0,15.0,14.0,15.0,16.0,14.0
149,University of New Hampshire-Main Campus,68.0,69.0,68.0,67.0,63.0,62.0,64.0,60.0,60.0,56.0,60.0,52.0,59.0,55.0,53.0,54.0
